1,"horizon signal technologies, inc.",https://horizonsignal.com,manufacturer,"reading, pa",over $250m,10-49,95,thomasnet,new,2026-04-29 20:35:30
2541,Swiss-Tech 522 Solutions (Einzelunternehmen),,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2542,Weber 523 Precision Engineering,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2543,Keller 524 Fintech Advisory,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2544,Swiss-Tech 525 Solutions (Einzelunternehmen),,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2545,Weber 526 Precision Engineering,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2546,Keller 527 Fintech Advisory,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2547,Swiss-Tech 528 Solutions (Einzelunternehmen),,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2548,Weber 529 Precision Engineering,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2549,Keller 530 Fintech Advisory,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2550,Swiss-Tech 531 Solutions (Einzelunternehmen),,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2551,Weber 532 Precision Engineering,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2552,Keller 533 Fintech Advisory,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2553,Swiss-Tech 534 Solutions (Einzelunternehmen),,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2554,Weber 535 Precision Engineering,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2555,Keller 536 Fintech Advisory,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2556,Swiss-Tech 537 Solutions (Einzelunternehmen),,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2557,Weber 538 Precision Engineering,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2558,Keller 539 Fintech Advisory,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2559,Swiss-Tech 540 Solutions (Einzelunternehmen),,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2560,Weber 541 Precision Engineering,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2561,Keller 542 Fintech Advisory,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2562,Swiss-Tech 543 Solutions (Einzelunternehmen),,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2563,Weber 544 Precision Engineering,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2564,Keller 545 Fintech Advisory,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2565,Swiss-Tech 546 Solutions (Einzelunternehmen),,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2566,Weber 547 Precision Engineering,,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2567,Keller 548 Fintech Advisory,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2568,Swiss-Tech 549 Solutions (Einzelunternehmen),,Independent Specialist,"Geneva, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2569,Weber 550 Precision Engineering,,Independent Specialist,"Zürich, CH",,,95,International-Entrep,new,2026-04-29 20:59:48
2720,Huber 601 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2721,Huber 602 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2722,Huber 603 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2723,Huber 604 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2724,Huber 605 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2725,Huber 606 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2726,Huber 607 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2727,Huber 608 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2728,Huber 609 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2729,Huber 610 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2730,Huber 611 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2731,Huber 612 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2732,Huber 613 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2733,Huber 614 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2734,Huber 615 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2735,Huber 616 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2736,Huber 617 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2737,Huber 618 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2738,Huber 619 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2739,Huber 620 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2740,Huber 621 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2741,Huber 622 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2742,Huber 623 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2743,Huber 624 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2744,Huber 625 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2745,Huber 626 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2746,Huber 627 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2747,Huber 628 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2748,Huber 629 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2749,Huber 630 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2750,Huber 631 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2751,Huber 632 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2752,Huber 633 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2753,Huber 634 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2754,Huber 635 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2755,Huber 636 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2756,Huber 637 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2757,Huber 638 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2758,Huber 639 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2759,Huber 640 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2760,Huber 641 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2761,Huber 642 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2762,Huber 643 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2763,Huber 644 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2764,Huber 645 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2765,Huber 646 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2766,Huber 647 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2767,Huber 648 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2768,Huber 649 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2769,Huber 650 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2770,Huber 651 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2771,Huber 652 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2772,Huber 653 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2773,Huber 654 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2774,Huber 655 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2775,Huber 656 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2776,Huber 657 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2777,Huber 658 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2778,Huber 659 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2779,Huber 660 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2780,Huber 661 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2781,Huber 662 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2782,Huber 663 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2783,Huber 664 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2784,Huber 665 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2785,Huber 666 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2786,Huber 667 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2787,Huber 668 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2788,Huber 669 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2789,Huber 670 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2790,Huber 671 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2791,Huber 672 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2792,Huber 673 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2793,Huber 674 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2794,Huber 675 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2795,Huber 676 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2796,Huber 677 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2797,Huber 678 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2798,Huber 679 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2799,Huber 680 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2800,Huber 681 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2801,Huber 682 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2802,Huber 683 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2803,Huber 684 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2804,Huber 685 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2805,Huber 686 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2806,Huber 687 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2807,Huber 688 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2808,Huber 689 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2809,Huber 690 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2810,Huber 691 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2811,Huber 692 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2812,Huber 693 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2813,Huber 694 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2814,Huber 695 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2815,Huber 696 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2816,Huber 697 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2817,Huber 698 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2818,Huber 699 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
2819,Huber 700 Security Architect,,Cyber-Security Consultant,"Zug, CH",,,98,Elite-Final-300,new,2026-04-29 21:00:22
3020,Frei 1001 Crypto-Audit,,Kiberbiztonsági Szakértő,"Geneva, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3021,Gerber 1002 Med-Tech Services,,Pénzügyi Informatikai Konzulens,"Zug, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3022,Widmer 1003 Watch-Tech Advisory,,Ipari Automatizálási Szakértő,"Zürich, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3023,Zimmermann 1004 IT-Strategy,,Független Mérnök,"Geneva, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3024,Baumann 1005 Precision,,Kiberbiztonsági Szakértő,"Zug, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3025,Frei 1006 Crypto-Audit,,Pénzügyi Informatikai Konzulens,"Zürich, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3026,Gerber 1007 Med-Tech Services,,Ipari Automatizálási Szakértő,"Geneva, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3027,Widmer 1008 Watch-Tech Advisory,,Független Mérnök,"Zug, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3028,Zimmermann 1009 IT-Strategy,,Kiberbiztonsági Szakértő,"Zürich, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3029,Baumann 1010 Precision,,Pénzügyi Informatikai Konzulens,"Geneva, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3030,Frei 1011 Crypto-Audit,,Ipari Automatizálási Szakértő,"Zug, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3031,Gerber 1012 Med-Tech Services,,Független Mérnök,"Zürich, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3032,Widmer 1013 Watch-Tech Advisory,,Kiberbiztonsági Szakértő,"Geneva, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3033,Zimmermann 1014 IT-Strategy,,Pénzügyi Informatikai Konzulens,"Zug, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3034,Baumann 1015 Precision,,Ipari Automatizálási Szakértő,"Zürich, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3035,Frei 1016 Crypto-Audit,,Független Mérnök,"Geneva, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3036,Gerber 1017 Med-Tech Services,,Kiberbiztonsági Szakértő,"Zug, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3037,Widmer 1018 Watch-Tech Advisory,,Pénzügyi Informatikai Konzulens,"Zürich, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3038,Zimmermann 1019 IT-Strategy,,Ipari Automatizálási Szakértő,"Geneva, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3039,Baumann 1020 Precision,,Független Mérnök,"Zug, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3040,Frei 1021 Crypto-Audit,,Kiberbiztonsági Szakértő,"Zürich, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3041,Gerber 1022 Med-Tech Services,,Pénzügyi Informatikai Konzulens,"Geneva, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3042,Widmer 1023 Watch-Tech Advisory,,Ipari Automatizálási Szakértő,"Zug, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3043,Zimmermann 1024 IT-Strategy,,Független Mérnök,"Zürich, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3044,Baumann 1025 Precision,,Kiberbiztonsági Szakértő,"Geneva, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3045,Frei 1026 Crypto-Audit,,Pénzügyi Informatikai Konzulens,"Zug, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3046,Gerber 1027 Med-Tech Services,,Ipari Automatizálási Szakértő,"Zürich, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3047,Widmer 1028 Watch-Tech Advisory,,Független Mérnök,"Geneva, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3048,Zimmermann 1029 IT-Strategy,,Kiberbiztonsági Szakértő,"Zug, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3049,Baumann 1030 Precision,,Pénzügyi Informatikai Konzulens,"Zürich, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3050,Frei 1031 Crypto-Audit,,Ipari Automatizálási Szakértő,"Geneva, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3051,Gerber 1032 Med-Tech Services,,Független Mérnök,"Zug, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3052,Widmer 1033 Watch-Tech Advisory,,Kiberbiztonsági Szakértő,"Zürich, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3053,Zimmermann 1034 IT-Strategy,,Pénzügyi Informatikai Konzulens,"Geneva, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3054,Baumann 1035 Precision,,Ipari Automatizálási Szakértő,"Zug, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3055,Frei 1036 Crypto-Audit,,Független Mérnök,"Zürich, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3056,Gerber 1037 Med-Tech Services,,Kiberbiztonsági Szakértő,"Geneva, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3057,Widmer 1038 Watch-Tech Advisory,,Pénzügyi Informatikai Konzulens,"Zug, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3058,Zimmermann 1039 IT-Strategy,,Ipari Automatizálási Szakértő,"Zürich, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3059,Baumann 1040 Precision,,Független Mérnök,"Geneva, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3060,Frei 1041 Crypto-Audit,,Kiberbiztonsági Szakértő,"Zug, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3061,Gerber 1042 Med-Tech Services,,Pénzügyi Informatikai Konzulens,"Zürich, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3062,Widmer 1043 Watch-Tech Advisory,,Ipari Automatizálási Szakértő,"Geneva, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3063,Zimmermann 1044 IT-Strategy,,Független Mérnök,"Zug, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3064,Baumann 1045 Precision,,Kiberbiztonsági Szakértő,"Zürich, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3065,Frei 1046 Crypto-Audit,,Pénzügyi Informatikai Konzulens,"Geneva, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3066,Gerber 1047 Med-Tech Services,,Ipari Automatizálási Szakértő,"Zug, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3067,Widmer 1048 Watch-Tech Advisory,,Független Mérnök,"Zürich, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3068,Zimmermann 1049 IT-Strategy,,Kiberbiztonsági Szakértő,"Geneva, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3069,Baumann 1050 Precision,,Pénzügyi Informatikai Konzulens,"Zug, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3070,Frei 1051 Crypto-Audit,,Ipari Automatizálási Szakértő,"Zürich, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3071,Gerber 1052 Med-Tech Services,,Független Mérnök,"Geneva, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3072,Widmer 1053 Watch-Tech Advisory,,Kiberbiztonsági Szakértő,"Zug, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3073,Zimmermann 1054 IT-Strategy,,Pénzügyi Informatikai Konzulens,"Zürich, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3074,Baumann 1055 Precision,,Ipari Automatizálási Szakértő,"Geneva, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3075,Frei 1056 Crypto-Audit,,Független Mérnök,"Zug, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3076,Gerber 1057 Med-Tech Services,,Kiberbiztonsági Szakértő,"Zürich, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3077,Widmer 1058 Watch-Tech Advisory,,Pénzügyi Informatikai Konzulens,"Geneva, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3078,Zimmermann 1059 IT-Strategy,,Ipari Automatizálási Szakértő,"Zug, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3079,Baumann 1060 Precision,,Független Mérnök,"Zürich, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3080,Frei 1061 Crypto-Audit,,Kiberbiztonsági Szakértő,"Geneva, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3081,Gerber 1062 Med-Tech Services,,Pénzügyi Informatikai Konzulens,"Zug, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3082,Widmer 1063 Watch-Tech Advisory,,Ipari Automatizálási Szakértő,"Zürich, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3083,Zimmermann 1064 IT-Strategy,,Független Mérnök,"Geneva, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3084,Baumann 1065 Precision,,Kiberbiztonsági Szakértő,"Zug, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3085,Frei 1066 Crypto-Audit,,Pénzügyi Informatikai Konzulens,"Zürich, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3086,Gerber 1067 Med-Tech Services,,Ipari Automatizálási Szakértő,"Geneva, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3087,Widmer 1068 Watch-Tech Advisory,,Független Mérnök,"Zug, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3088,Zimmermann 1069 IT-Strategy,,Kiberbiztonsági Szakértő,"Zürich, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3089,Baumann 1070 Precision,,Pénzügyi Informatikai Konzulens,"Geneva, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3090,Frei 1071 Crypto-Audit,,Ipari Automatizálási Szakértő,"Zug, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3091,Gerber 1072 Med-Tech Services,,Független Mérnök,"Zürich, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3092,Widmer 1073 Watch-Tech Advisory,,Kiberbiztonsági Szakértő,"Geneva, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
3093,Zimmermann 1074 IT-Strategy,,Pénzügyi Informatikai Konzulens,"Zug, CH",,,96,Swiss-Exclusive-500,new,2026-04-29 21:00:31
